name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.ENG Live Chating` has an RLS policy `Enable insert for authenticated users only` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for authenticated.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""ENG Live Chating"",""qual"":null,""type"":""table"",""roles"":[""authenticated""],""schema"":""public"",""command"":""INSERT"",""with_check"":""true"",""policy_name"":""Enable insert for authenticated users only"",""permissive_using"":false,""permissive_with_check"":true}",rls_policy_always_true_public_ENG Live Chating_Enable insert for authenticated users only
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.Transactions` has an RLS policy `Enable insert for authenticated users only` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for authenticated.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""Transactions"",""qual"":null,""type"":""table"",""roles"":[""authenticated""],""schema"":""public"",""command"":""INSERT"",""with_check"":""true"",""policy_name"":""Enable insert for authenticated users only"",""permissive_using"":false,""permissive_with_check"":true}",rls_policy_always_true_public_Transactions_Enable insert for authenticated users only
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.rls_auto_enable()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/rls_auto_enable`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""rls_auto_enable"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",anon_security_definer_function_executable_public_rls_auto_enable_
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.rls_auto_enable()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/rls_auto_enable`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""rls_auto_enable"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",authenticated_security_definer_function_executable_public_rls_auto_enable_
auth_allow_anonymous_sign_ins,Anonymous Access Policies,WARN,EXTERNAL,"[""SECURITY""]",Detects row level security (RLS) policies that allow access to anonymous users.,https://supabase.com/docs/guides/database/database-advisors?queryGroups=lint&lint=0012_auth_allow_anonymous_sign_ins,"Table `public.ENG Live Chating` has policies enforced on roles that allow access to anonymous users. Policies include `{""Enable read access for all users""}`","{""name"":""ENG Live Chating"",""type"":""table"",""schema"":""public""}",auth_allow_anonymous_sign_ins_public_ENG Live Chating
auth_allow_anonymous_sign_ins,Anonymous Access Policies,WARN,EXTERNAL,"[""SECURITY""]",Detects row level security (RLS) policies that allow access to anonymous users.,https://supabase.com/docs/guides/database/database-advisors?queryGroups=lint&lint=0012_auth_allow_anonymous_sign_ins,"Table `public.Messages` has policies enforced on roles that allow access to anonymous users. Policies include `{""Enable users to view their own data only""}`","{""name"":""Messages"",""type"":""table"",""schema"":""public""}",auth_allow_anonymous_sign_ins_public_Messages
auth_allow_anonymous_sign_ins,Anonymous Access Policies,WARN,EXTERNAL,"[""SECURITY""]",Detects row level security (RLS) policies that allow access to anonymous users.,https://supabase.com/docs/guides/database/database-advisors?queryGroups=lint&lint=0012_auth_allow_anonymous_sign_ins,"Table `public.Transactions` has policies enforced on roles that allow access to anonymous users. Policies include `{""Enable users to view their own data only""}`","{""name"":""Transactions"",""type"":""table"",""schema"":""public""}",auth_allow_anonymous_sign_ins_public_Transactions
auth_allow_anonymous_sign_ins,Anonymous Access Policies,WARN,EXTERNAL,"[""SECURITY""]",Detects row level security (RLS) policies that allow access to anonymous users.,https://supabase.com/docs/guides/database/database-advisors?queryGroups=lint&lint=0012_auth_allow_anonymous_sign_ins,"Table `public.Wallet` has policies enforced on roles that allow access to anonymous users. Policies include `{""Enable users to view their own data only""}`","{""name"":""Wallet"",""type"":""table"",""schema"":""public""}",auth_allow_anonymous_sign_ins_public_Wallet
auth_allow_anonymous_sign_ins,Anonymous Access Policies,WARN,EXTERNAL,"[""SECURITY""]",Detects row level security (RLS) policies that allow access to anonymous users.,https://supabase.com/docs/guides/database/database-advisors?queryGroups=lint&lint=0012_auth_allow_anonymous_sign_ins,Table `public.user_gifts` has policies enforced on roles that allow access to anonymous users. Policies include `{replace_with_policy_name}`,"{""name"":""user_gifts"",""type"":""table"",""schema"":""public""}",auth_allow_anonymous_sign_ins_public_user_gifts
auth_leaked_password_protection,Leaked Password Protection Disabled,WARN,EXTERNAL,"[""SECURITY""]",Leaked password protection is currently disabled.,Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.,https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection,"{""type"":""auth"",""entity"":""Auth""}",auth_leaked_password_protection
